Id,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,ADDRESSTYP,HYPERLINK,LANDXADDRE,LANDYADDRE,PHOTOURL,ADDRESSFLO,INC_CRC,FMEL_UPD_D,ADDRESSUNI,snippet,Y,X
1,McDonald's - Bugis Junction,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,230,Bugis Junction,188021,Victoria Street,Q,,0,0,,1,3D7EAAAA39C1DB1D,2.02004E+13,K5,,31274.86219,30458.706
2,McDonald's - Bugis Village,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,151,Bugis Village,188426,Rochor Road,Q,,0,0,,1,282EA180C3E340F1,2.02004E+13,"42,43",,31472.31379,30439.8986
3,McDonald's - Bukit Batok,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,632,,650632,Bukit Batok Central,Q,,0,0,,1,3B263E957208A014,2.02004E+13,10,,36836.81569,18787.5168
4,McDonald's - Bukit Batok West,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,152,,650152,Bukit Batok Street 11,Q,,0,0,,1,A08E51C9B4792515,2.02004E+13,451,,36714.06999,18088.463
5,McDonald's - Bukit Gombak,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,374,,650374,Bukit Batok Street 31,Q,,0,0,,1,84E60DC6E96C3F14,2.02004E+13,27,,37797.39029,18807.6948
6,McDonald's - Bukit Panjang Plaza,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Bukit Panjang Plaza,677743,Jelebu Road,Q,,0,0,,2,E998469201100996,2.02004E+13,"24,25",,40276.2203,20281.4687
7,McDonald's - Causeway Point,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,1,Causeway Point,738099,Woodlands Square,Q,,0,0,,1,997DF23DCAE7783F,2.02004E+13,9,,46412.0239,22699.52399
8,McDonald's - Changi Airport T2,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,60,Changi Airport Terminal 2,819643,"Airport Boulevard, Changi Airport Terminal 2?? Mezzanine Level Arrival Meeting",Q,,0,0,,M016,51DD7FDD0478E07E,2.02004E+13,41,,37476.19949,45297.8699
9,McDonald's - Changi Airport T2 Transit Lounge,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,60,Changi Airport Terminal 2,819643,"Airport Boulevard, Changi Airport Terminal 2?? Departure, Transit Lounge Central",Q,,0,0,,36,51DD7FDDD0883370,2.02004E+13,151,,37476.19949,45297.8699
10,McDonald's - Changi Airport T3,Choose healthier options from F&B outlets under HPB's Healthier Dining Programme,,,,,-1,0,-1,,,65,Changi Airport Terminal 3,819663,"Airport Boulevard, Changi Airport Terminal 3??Arrival Meeting Hall South",Q,,0,0,,1,1A6E905C5CFC4298,2.02004E+13,9,,37385.47989,44899.3133
