Id,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,LANDYADDRE,LANDXADDRE,ADDRESSPOS,ADDRESSBUI,HYPERLINK,PHOTOURL,ADDRESSUNI,ADDRESSFLO,ADDRESSSTR,ADDRESSBLO,INC_CRC,FMEL_UPD_D,snippet,Y,X
1,The Pit,Operating Hours: 7.00am - 10.00am,,,,,-1,0,-1,,,0,0,78989,,,,,,Tras Street,50,0E28997B4498C8C3,2.01601E+13,,28952.86229,29211.2463
2,The Stable Mixed Martial Arts,"Operating Hours: Monday, Wednesday, Friday: 
12.00pm - 9.30pm

Tuesday, Thursday:
12.00pm - 10.00pm

Saturday:
10.00am - 5.30pm",,,,,-1,0,-1,,,0,0,287992,House J and S,,,,,Turf Club Road,100,CAA5268B7BA8784D,2.01601E+13,,35156.77259,23835.5087
3,Bishan ClubFITT Gym,"Facilities: Standard Gymnasium Equipment
Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)
Tel: 6353 9238",,,,,-1,0,-1,,,0,0,579783,,,,,,Bishan St. 4,5,E7A4A38558FA4D85,2.01601E+13,,37485.79009,29959.0673
4,The Yoga Place,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,208568,King George's Building,,,,,King George's Ave,328,CBB24D03E2FE458E,2.01601E+13,,32470.04569,31202.0959
5,Sky Fitness - Serangoon Gardens,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,559022,,,,10,1,Bughley Drive Blk B,45,51E0C317DBD72838,2.01601E+13,,38008.49039,30921.59449
6,Slender Shapes - Serangoon Gardens Way,"Operating Hours: Monday - Friday
8.00am - 2.00pm
4.00pm - 9.00pm

Saturday
9.00am - 4.00pm

Sunday & PH: Closed",,,,,-1,0,-1,,,0,0,555981,,,,,,Serangoon Gardens Way,85A,72ED7C57972BE722,2.01601E+13,,38438.65179,31512.89279
7,Woodlands ClubFITT Gym,"Facilities: Standard Gymnasium Equipment
Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)
Tel: 6362 9101",,,,,-1,0,-1,,,0,0,738597,Woodlands Stadium,,,,,WoodlandsCentre,495,E5E3FFD742FDA4E4,2.01601E+13,,46289.0259,22100.5679
8,Yio Chu Kang ClubFITT Gym,"Facilities: Standard Gymnasium Equipment
Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)
Tel: 6483 9370",,,,,-1,0,-1,,,0,0,569770,,,,,,Ang Mo Kio Ave 9,200,4C197828BD636D1B,2.01601E+13,,40470.1817,29385.4469
9,Yishun ClubFITT Gym,"Facilities: Standard Gymnasium Equipment
Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday)
Tel: 6851 8604",,,,,-1,0,-1,,,0,0,769130,,,,,,YishunAve 1,101,04252044DEABBBC4,2.01601E+13,,43759.333,27761.7166
10,Zattva Yoga Studio,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3"">
<th>LANDYADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor="""">
<th>LANDXADDRESSPOINT</th>
<td>0</td>
</tr><tr bgcolor=""#E3E3F3"">
<th>ADDRESSPOSTALCODE</th>
",,,,,-1,0,-1,,,0,0,238841,Orchard Plaza,,,9,7,Orchard Road,150,79FB226A0AB7930E,2.01601E+13,,31511.94019,28871.5834
